Annees;AvgT;pre;Ncas
2000;26.58;1267.29;8 402 895
2001;26.64;1392.18;8 796 365
2002;26.89;1299.99;9 013 441
2003;26.85;1407.13;9 179 349
2004;26.87;1305.45;9 270 982
2005;27.02;1267.53;8 921 724
2006;26.80;1374.62;8 922 496
2007;26.92;1257.83;9 035 145
2008;26.50;1345.88;9 370 105
2009;26.88;1356.61;9 733 759
2010;27.17;1580.48;9 894 039
2011;26.85;1335.60;9 812 222
2012;26.58;1229.06;8 242 023
2013;26.81;1165.27;6 499 239
2014;26.85;1443.72;6 012 351
2015;27.04;1113.93;5 753 943
2016;27.32;1236.11;5 986 942
2017;27.18;1148.63;6 353 352
2018;27.03;1455.22;6 827 252
2019;26.83;1422.55;7 231 163
2020;27.19;1322.00;7 571 801
