Années,AvgT,pre,Ncas
 2020,29.07,33.1066666666667,7238665
 2019,29.22,31.3525,6559792
 2018,29.45,30.815,7378847
 2017,29.38,30.4725,7160192
 2016,29.45,29.4841666666667,6902717
 2015,29.53,29.235,6833022
 2014,29.17,29.1616666666667,7468113
 2013,29.30,28.1291666666667,7448756
 2012,28.89,28.0308333333333,6961475
 2011,29.50,28.0016666666667,6279267
 2010,29.75,27.98,5772983
 2009,29.49,27.4283333333333,5461653
 2008,29.01,27.1683333333333,5349875
 2007,29.24,26.8541666666667,5307761
 2006,29.25,26.85,5356747
 2005,29.25,26.8408333333333,5509314
 2004,29.51,26.0241666666667,5310943
 2003,29.38,25.5816666666667,5078371
 2002,29.33,25.2541666666667,4837950
 2001,29.10,24.8625,4592575
 2000,29.40,24.5533333333333,4446769
